,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
134,N/A,N/A,cpb,N/A,N/A,N/A,N/A,N/A,252.23,29.39,2.45,12.83,8.50,15.73,9.84,44.77,25.76,23370000000.0,23370000000.0,20.38,3.27,2.92,14.95,2.92,2800000000.0,14.95,680000000.0,2.18,28.00,1.50,306000000.0,0.99,3840000000.0,0.83,4.92,1320000000.0,0.35,39.34,43.80,8330000.0,3.72,4.50,8050000.000000001,N/A
135,N/A,N/A,crm,N/A,N/A,N/A,N/A,N/A,41.10,N/A,7.09,9.45,0.71,1.17,0.42,1.06,10.08,48640000000.0,48640000000.0,54.68,2.48,7.30,80.52,7.30,5010000000.0,80.52,47430000.0,0.07,N/A,25.30,1340000000.0,2.01,2060000000.0,0.77,7.48,1610000000.0,1.38,6.27,88.00,1.92,1.92,1.75,9090000.0,N/A
136,N/A,N/A,csc,N/A,N/A,N/A,N/A,N/A,120.06,11.61,0.37,1.89,3.36,5.06,3.82,10.33,81.06,5060000000.0,5060000000.0,11.03,1.00,0.45,4.20,0.45,2640000000.0,4.20,272000000.0,2.63,N/A,10.20,1830000000.0,13.25,2670000000.0,1.49,15.96,985000000.0,0.71,0.39,95.20,4880000.0,2.57,3.55,4580000.0,N/A
137,N/A,N/A,csco,N/A,N/A,N/A,N/A,N/A,40.41,13.79,2.78,2.27,20.84,24.91,7.10,17.42,9.75,104420000000.0,104420000000.0,11.71,1.47,2.11,7.31,2.11,29680000000.0,7.31,10330000000.0,2.02,31.30,0.10,60380000000.0,12.00,24600000000.0,3.29,12.05,13870000000.0,1.15,0.11,77.00,45860000.0,1.22,0.90,43250000.0,N/A
138,N/A,N/A,csx,N/A,N/A,N/A,N/A,N/A,91.73,13.05,2.06,2.10,16.66,30.40,6.59,17.23,12.02,34400000000.0,34400000000.0,12.92,3.06,2.91,7.17,2.91,8520000000.0,7.17,1970000000.0,2.00,5.10,12.90,1440000000.0,1.49,10700000000.0,1.52,12.07,3370000000.0,1.22,0.35,71.10,10240000.0,1.07,1.04,11390000.0,N/A
139,N/A,N/A,ctas,N/A,N/A,N/A,N/A,N/A,67.55,15.85,2.03,4.93,13.82,15.79,10.07,20.36,41.62,10260000000.0,10260000000.0,20.38,1.78,2.20,11.46,2.20,1920000000.0,11.46,414550000.0,5.62,186.60,8.50,672610000.0,6.22,1300000000.0,1.81,17.80,552740000.0,0.81,18.18,71.80,4870000.0,7.03,5.25,4750000.0,N/A
140,N/A,N/A,ctl,N/A,N/A,N/A,N/A,N/A,143.85,20.17,0.96,1.23,4.91,15.00,3.47,6.04,32.29,37430000000.0,37430000000.0,12.80,5.02,2.09,5.48,2.09,10120000000.0,5.48,878000000.0,1.58,79.80,0.90,126000000.0,0.23,20220000000.0,0.58,25.86,5150000000.0,0.98,0.48,76.50,36650000.0,6.57,7.32,36940000.0,N/A
141,N/A,N/A,ctsh,N/A,N/A,N/A,N/A,N/A,13.88,21.50,2.72,3.64,13.08,17.25,10.91,19.08,20.38,31040000000.0,31040000000.0,14.76,1.14,2.50,12.56,2.50,4980000000.0,12.56,1620000000.0,2.65,16.70,17.90,4950000000.0,8.13,1290000000.0,2.91,15.24,2150000000.0,1.01,0.45,91.60,9260000.0,1.79,1.53,5450000.0,N/A
142,N/A,N/A,ctxs,N/A,N/A,N/A,N/A,N/A,67.14,38.43,3.56,5.90,9.75,17.68,6.59,15.40,20.62,12230000000.0,12230000000.0,14.51,1.10,3.73,14.40,3.73,2660000000.0,14.40,319360000.0,1.99,37.90,6.30,871370000.0,5.66,1320000000.0,1.00,12.83,1030000000.0,1.25,6.57,95.60,9300000.0,4.67,5.80,8359999.999999999,N/A
143,N/A,N/A,cvc,N/A,N/A,N/A,N/A,N/A,N/A,51.80,1.40,N/A,2.70,13.43,8.02,N/A,24.17,17730000000.0,17730000000.0,37.80,38.83,2.72,10.19,2.72,3310000000.0,10.19,187990000.0,0.64,42.60,0.10,1000000000.0,3.63,9630000000.0,0.86,17.75,1260000000.0,0.55,15.99,80.20,10960000.0,3.38,5.68,10520000.0,N/A
144,N/A,N/A,cvs,N/A,N/A,N/A,N/A,N/A,73.75,21.69,0.71,2.94,3.42,6.37,7.27,13.91,137.11,135610000000.00002,135610000000.00002,15.28,1.23,0.89,11.44,0.89,26530000000.0,11.44,5200000000.0,4.63,N/A,N/A,2550000000.0,2.31,27460000000.0,1.31,33.78,8410000000.0,1.01,0.23,85.10,15640000.0,2.98,1.38,15340000.0,N/A
145,N/A,N/A,cvx,N/A,N/A,N/A,N/A,N/A,25.08,38.60,1.44,1.16,3.74,2.28,0.66,3.04,65.61,205370000000.0,205370000000.0,20.08,2.91,1.68,11.62,1.68,37140000000.0,11.62,4590000000.0,2.45,N/A,34.40,11330000000.0,6.02,38590000000.0,1.34,81.11,19460000000.0,1.17,0.04,62.60,26340000.0,1.94,1.40,27230000.0,N/A
146,N/A,N/A,d,N/A,N/A,N/A,N/A,N/A,212.84,22.58,3.66,3.37,16.25,31.11,4.02,15.05,19.68,71440000000.0,71440000000.0,18.28,3.15,6.12,13.47,6.12,5480000000.0,13.47,1900000000.0,3.20,46.90,13.10,607000000.0,1.02,28950000000.0,0.51,21.22,4480000000.0,0.20,0.39,61.30,16410000.0,5.29,2.80,14860000.0,N/A
147,N/A,N/A,dal,N/A,N/A,N/A,N/A,N/A,78.87,8.47,0.90,3.36,11.12,16.06,7.63,46.04,51.07,42140000000.0,42140000000.0,6.58,0.30,1.03,5.12,1.03,23610000000.0,5.12,4530000000.0,5.63,N/A,1.50,3440000000.0,4.43,8560000000.000001,0.52,13.98,7930000000.0,1.31,0.28,89.50,19560000.0,1.70,2.40,15470000.0,N/A
148,N/A,N/A,dd,N/A,N/A,N/A,N/A,N/A,86.34,29.54,2.16,5.55,7.77,11.01,3.77,16.07,28.11,58480000000.0,58480000000.0,18.19,2.18,2.33,14.24,2.33,10020000000.0,14.24,1880000000.0,2.16,N/A,9.40,6210000000.0,7.12,8810000000.0,1.72,11.20,2320000000.0,1.96,0.14,68.70,15310000.0,2.83,1.69,15460000.0,N/A
149,N/A,N/A,dds,N/A,N/A,N/A,N/A,N/A,45.98,12.59,0.46,1.74,3.99,6.77,7.11,14.13,173.19,3750000000.0,3750000000.0,11.42,1.92,0.56,5.30,0.56,2510000000.0,5.30,269400000.0,6.91,35.60,2.90,202900000.0,5.65,825400000.0,2.22,50.01,450200000.0,1.24,11.73,94.10,3930000.0,5.49,16.49,4860000.0,N/A
150,N/A,N/A,de,N/A,N/A,N/A,N/A,N/A,549.69,15.11,0.93,3.94,6.47,8.97,2.74,24.34,85.41,59610000000.0,59610000000.0,19.99,3.82,2.13,15.63,2.13,8720000000.0,15.63,1810000000.0,5.49,34.20,13.40,2850000000.0,9.04,36300000000.0,2.29,20.90,3470000000.0,0.79,9.36,74.10,38200000.0,12.37,12.09,40430000.0,N/A
151,N/A,N/A,dfs,N/A,N/A,N/A,N/A,N/A,219.62,9.59,2.77,1.90,31.79,52.84,2.70,20.50,16.54,35540000000.0,35540000000.0,8.20,1.18,4.92,N/A,4.92,N/A,N/A,2250000000.0,5.13,23.80,2.00,9590000000.0,23.16,24760000000.0,1.50,25.41,3850000000.0,1.52,0.84,85.50,6620000.0,1.43,1.50,7520000.0,N/A
152,N/A,N/A,dg,N/A,N/A,N/A,N/A,N/A,58.14,22.21,1.21,4.53,5.72,9.53,10.76,21.41,67.18,27660000000.0,27660000000.0,16.60,1.33,1.38,12.24,1.38,5800000000.0,12.24,1140000000.0,3.83,7.20,7.30,182510000.0,0.63,3110000000.0,1.75,18.37,1250000000.0,0.66,5.30,91.90,11450000.0,3.52,3.78,8530000.0,N/A
153,N/A,N/A,dgx,N/A,N/A,N/A,N/A,N/A,76.46,14.52,1.30,2.08,9.46,15.76,7.45,16.53,52.04,13620000000.0,13620000000.0,13.22,1.34,1.82,9.17,1.82,2840000000.0,9.17,706000000.0,4.87,N/A,N/A,133000000.0,0.93,3660000000.0,1.28,32.76,810000000.0,0.53,0.34,96.90,7550000.0,6.91,5.85,8400000.0,N/A
154,N/A,N/A,dhi,N/A,N/A,N/A,N/A,N/A,61.62,14.36,0.95,1.72,7.00,10.91,6.94,13.53,29.77,13420000000.0,13420000000.0,11.33,0.72,1.23,10.74,1.23,2290000000.0,10.74,765900000.0,2.06,10.70,4.90,1250000000.0,3.37,3730000000.0,5.75,16.39,827900000.0,1.02,9.63,85.30,20200000.0,2.70,6.04,25830000.0,N/A
155,N/A,N/A,dhr,N/A,N/A,N/A,N/A,N/A,54.16,19.11,2.98,2.59,16.33,17.79,5.37,11.01,29.46,74340000000.0,74340000000.0,16.97,1.63,3.62,15.79,3.62,10760000000.0,15.79,2600000000.0,4.74,4.10,12.60,790800000.0,1.15,12870000000.0,1.27,34.49,3800000000.0,1.06,12.81,84.30,0.00,0.00,N/A,100.00,N/A
156,N/A,N/A,dis,N/A,N/A,N/A,N/A,N/A,39.24,18.30,2.91,3.75,16.72,25.90,9.93,19.83,32.28,174410000000.0,174410000000.0,15.67,1.40,3.21,10.61,3.21,24100000000.0,10.61,9080000000.0,5.35,32.00,13.80,4300000000.0,2.64,18920000000.0,0.95,25.86,11420000000.0,1.56,7.82,63.30,50120000.0,4.54,3.06,47730000.0,N/A
157,N/A,N/A,disca,N/A,N/A,N/A,N/A,N/A,135.89,18.05,2.74,3.22,16.17,33.03,8.29,17.40,14.16,25240000000.0,25240000000.0,13.48,1.61,3.95,10.34,3.95,4050000000.0,10.34,1030000000.0,1.58,12.40,1.80,539000000.0,0.85,7740000000.0,1.64,8.59,1280000000.0,1.56,1.57,115.20,17800000.0,6.74,12.14,16260000.000000002,N/A
158,N/A,N/A,dks,N/A,N/A,N/A,N/A,N/A,20.22,15.38,0.73,2.99,4.96,8.15,9.49,21.07,61.72,5610000000.0,5610000000.0,13.34,1.37,0.78,7.28,0.78,2089999999.9999998,7.28,356930000.0,3.02,4.10,7.60,73800000.0,0.64,348450000.0,1.64,15.22,619090000.0,0.31,1.63,91.00,5910000.0,2.31,6.44,6470000.0,N/A
159,N/A,N/A,dlph,N/A,N/A,N/A,N/A,N/A,146.65,13.89,1.25,8.45,9.56,12.94,10.81,43.89,53.17,22980000000.0,22980000000.0,10.05,0.86,1.52,9.24,1.52,3010000000.0,9.24,1180000000.0,5.06,44.20,2.70,535000000.0,1.93,4010000000.0,1.30,8.09,1700000000.0,1.39,0.48,96.60,5980000.0,1.71,1.69,6000000.0,N/A
160,N/A,N/A,dltr,N/A,N/A,N/A,N/A,N/A,201.43,66.68,1.49,4.52,2.06,8.99,7.06,9.08,58.58,26020000000.0,26020000000.0,17.47,0.92,2.06,17.35,2.06,3030000000.0,17.35,259899999.99999997,1.20,38.40,136.00,1110000000.0,4.73,8340000000.0,2.14,17.64,487800000.0,0.53,3.53,87.40,13910000.0,5.10,7.03,13910000.0,N/A
161,N/A,N/A,dlx,N/A,N/A,N/A,N/A,N/A,85.38,13.78,1.61,3.84,12.33,20.34,12.76,31.40,35.85,3510000000.0,3510000000.0,11.66,1.50,1.98,8.73,1.98,1130000000.0,8.73,217170000.0,4.36,3.00,3.30,64040000.00000001,1.31,636110000.0,0.43,15.20,307930000.0,1.26,1.23,91.00,5200000.0,12.35,11.94,5430000.0,N/A
162,N/A,N/A,dnb,N/A,N/A,N/A,N/A,N/A,N/A,21.57,2.14,N/A,10.31,24.31,N/A,N/A,45.35,5080000000.0,5080000000.0,12.71,2.63,3.10,11.17,3.10,1640000000.0,11.17,204200000.0,4.64,16.40,1.90,293900000.0,8.13,1760000000.0,N/A,32.02,N/A,1.46,0.34,94.50,1030000.0,4.87,3.29,1050000.0,N/A
163,N/A,N/A,dnr,N/A,N/A,N/A,N/A,N/A,157.16,N/A,0.61,0.36,N/A,3.52,N/A,111.87,3.57,4179999999.9999995,4179999999.9999995,N/A,0.36,3.36,6.93,3.36,728610000.0,6.93,4390000000.0,12.57,N/A,44.70,12210000.0,0.04,3360000000.0,N/A,6.10,N/A,2.54,1.90,112.30,62870000.0,5.01,17.96,54070000.0,N/A
164,N/A,N/A,do,N/A,N/A,N/A,N/A,N/A,55.47,N/A,1.27,0.73,11.62,24.31,4.72,6.41,17.21,5280000000.0,5280000000.0,26.81,0.84,2.24,4.94,2.24,2360000000.0,4.94,274290000.0,2.00,N/A,19.30,130550000.00000001,0.95,2280000000.0,1.07,29.99,736430000.0,0.98,53.34,48.20,16620000.000000002,5.98,25.87,15900000.0,N/A
165,N/A,N/A,dov,N/A,N/A,N/A,N/A,N/A,75.96,11.50,1.36,2.59,12.50,14.03,6.91,16.23,44.13,12140000000.0,12140000000.0,15.35,1.63,1.75,9.32,1.75,2570000000.0,9.32,595880000.0,5.46,16.20,14.30,362180000.0,2.34,2770000000.0,1.77,23.51,835110000.0,1.25,0.86,92.40,6150000.0,2.95,3.89,7190000.0,N/A
166,N/A,N/A,dow,N/A,N/A,N/A,N/A,N/A,65.75,8.23,1.13,2.57,15.76,12.64,5.64,31.30,43.16,65340000000.0,65340000000.0,13.01,1.84,1.34,7.59,1.34,10940000000.0,7.59,7290000000.0,6.15,341.00,20.30,8420000000.0,7.54,17210000000.0,2.18,19.14,7520000000.0,1.34,0.02,70.00,16120000.000000002,1.63,1.40,12990000.0,N/A
167,N/A,N/A,dps,N/A,N/A,N/A,N/A,N/A,155.02,22.93,2.73,7.88,12.16,20.77,9.52,34.13,32.91,19520000000.0,19520000000.0,19.45,2.64,3.11,12.85,3.11,3720000000.0,12.85,764000000.0,3.97,23.30,2.50,920000000.0,4.91,3380000000.0,1.15,11.62,991000000.0,0.78,0.30,94.60,8730000.0,5.48,4.55,7750000.0,N/A
168,N/A,N/A,dri,N/A,N/A,N/A,N/A,N/A,60.25,23.71,1.25,4.33,5.34,8.24,6.49,17.46,54.56,9010000000.0,9010000000.0,17.28,1.23,1.30,10.31,1.30,1420000000.0,10.31,357600000.0,2.85,N/A,3.20,857600000.0,6.69,1200000000.0,0.76,15.52,655700000.0,0.17,9.90,83.30,11710000.0,5.67,10.10,10920000.0,N/A
169,N/A,N/A,dsw,N/A,N/A,N/A,N/A,N/A,N/A,15.59,0.89,2.23,5.99,9.46,10.52,15.33,29.33,2260000000.0,2260000000.0,17.26,5.21,0.87,7.12,0.87,755020000.0,7.12,155130000.0,1.74,20.70,0.60,90020000.0,1.04,0.00,2.36,11.87,210860000.0,0.67,8.81,95.60,9070000.0,4.35,12.37,9210000.0,N/A
170,N/A,N/A,duk,N/A,N/A,N/A,N/A,N/A,108.79,19.20,2.31,1.34,12.21,24.20,2.89,6.97,33.23,95930000000.0,95930000000.0,16.17,5.13,4.16,10.43,4.16,9730000000.0,10.43,2790000000.0,4.05,391.80,4.40,863000000.0,1.25,43260000000.0,0.73,57.74,6680000000.0,0.12,0.07,56.10,9650000.0,3.20,1.36,8130000.000000001,N/A
171,N/A,N/A,dva,N/A,N/A,N/A,N/A,N/A,153.50,56.84,1.05,3.01,1.96,13.49,6.43,7.04,65.01,21870000000.0,21870000000.0,16.30,1.50,1.59,8.77,1.59,3960000000.0,8.77,269730000.0,1.25,N/A,6.20,1910000000.0,9.25,9130000000.0,1.88,23.22,1560000000.0,0.69,1.49,85.70,3500000.0,2.52,2.02,3130000.0,N/A
172,N/A,N/A,dvn,N/A,N/A,N/A,N/A,N/A,119.53,N/A,0.78,1.32,114.33,1.35,0.27,81.45,31.06,21760000000.0,21760000000.0,39.33,6.29,1.72,6.45,1.72,11040000000.0,6.45,14460000000.0,35.55,N/A,30.40,2310000000.0,5.24,13140000000.0,1.22,16.86,5380000000.0,1.68,5.84,79.10,15600000.0,1.60,3.82,14480000.0,N/A
173,N/A,N/A,ea,N/A,N/A,N/A,N/A,N/A,11.29,33.01,4.60,6.54,15.26,17.81,7.53,22.88,13.77,17050000000.0,17050000000.0,18.26,1.19,3.99,18.10,3.99,3090000000.0,18.10,652000000.0,1.95,N/A,5.00,3230000000.0,10.44,340000000.0,1.32,9.72,1020000000.0,13.46,0.66,104.40,22520000.0,4.75,7.50,20830000.0,N/A
174,N/A,N/A,ebay,N/A,N/A,N/A,N/A,N/A,103.09,16.94,3.25,4.27,20.08,26.29,4.49,14.70,7.11,28960000000.0,28960000000.0,11.72,2.13,3.37,9.83,3.37,6820000000.0,9.83,1950000000.0,1.42,53.40,N/A,6130000000.0,5.20,6780000000.0,3.49,5.55,4030000000.0000005,1.21,7.31,82.90,22290000.0,1.49,2.00,23620000.0,N/A
175,N/A,N/A,ecl,N/A,N/A,N/A,N/A,N/A,92.62,32.04,2.29,4.49,7.40,15.18,6.75,14.17,45.70,37860000000.0,37860000000.0,20.81,1.91,2.80,12.98,2.80,6320000000.0,12.98,1000000000.0,3.32,37.70,7.30,92800000.0,0.31,6470000000.0,0.93,23.34,2000000000.0,1.13,9.89,79.20,7340000.0,4.89,2.79,7530000.0,N/A
176,N/A,N/A,ecyt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,056.78,0.80,N/A,797.07,10.72,20.28,0.00,23110000.0,23110000.0,N/A,N/A,330.20,0.68,330.20,33960000.0,0.68,39560000.0,0.95,N/A,99.20,172130000.0,4.10,0.00,32.27,4.27,30280000.0,1.89,18.86,39.50,4090000.0,13.16,12.63,4150000.0000000005,N/A
177,N/A,N/A,ed,N/A,N/A,N/A,N/A,N/A,109.29,18.09,1.71,1.64,9.50,19.33,3.38,9.30,42.85,34840000000.0,34840000000.0,17.66,7.50,2.78,9.80,2.78,5490000000.0,9.80,1190000000.0,4.05,114.60,4.30,944000000.0,3.22,14270000000.0,0.81,44.55,3280000000.0,0.02,0.17,54.50,13270000.0,4.80,4.53,15780000.0,N/A
178,N/A,N/A,efx,N/A,N/A,N/A,N/A,N/A,50.85,30.55,4.76,5.48,16.11,26.83,9.74,18.97,22.44,13980000000.0,13980000000.0,19.23,2.05,5.25,15.28,5.25,1780000000.0,15.28,429100000.0,3.55,14.20,6.70,93300000.0,0.79,1200000000.0,0.93,19.47,742100000.0,0.94,0.81,89.00,3950000.0,3.99,3.72,4080000.0,N/A
179,N/A,N/A,eix,N/A,N/A,N/A,N/A,N/A,89.25,22.71,1.97,2.00,8.85,17.47,2.52,7.35,35.35,35650000000.0,35650000000.0,17.13,8.40,3.09,9.50,3.09,4269999999.9999995,9.50,984000000.0,3.10,N/A,24.80,161000000.0,0.49,11950000000.0,0.54,34.89,4510000000.0,0.15,0.21,83.30,4160000.0,1.62,1.28,3490000.0,N/A
180,N/A,N/A,el,N/A,N/A,N/A,N/A,N/A,54.81,30.04,3.06,9.41,10.67,15.51,13.05,31.85,29.55,34880000000.0,34880000000.0,26.30,2.63,3.15,16.39,3.15,8680000000.0,16.39,1180000000.0,3.10,2.40,2.60,1420000000.0,3.85,1980000000.0,1.81,9.76,1910000000.0,0.83,1.45,95.10,10050000.0,5.57,5.14,10290000.0,N/A
181,N/A,N/A,emc,N/A,N/A,N/A,N/A,N/A,29.82,25.93,2.07,2.41,8.06,14.01,4.69,9.39,12.71,48590000000.0,48590000000.0,13.25,1.42,1.97,10.01,1.97,14990000000.0,10.01,1990000000.0,1.01,32.70,0.50,9280000000.0,4.76,6770000000.0,1.17,10.88,5390000000.0,1.06,0.46,84.00,16290000.0,1.04,0.83,10380000.0,N/A
182,N/A,N/A,emn,N/A,N/A,N/A,N/A,N/A,175.80,12.62,1.06,2.59,8.79,17.80,6.77,22.44,64.93,17330000000.0,17330000000.0,9.23,1.56,1.80,7.59,1.80,2580000000.0,7.59,848000000.0,5.66,675.00,5.30,293000000.0,1.98,7070000000.0,1.40,26.66,1610000000.0,1.44,0.68,85.50,2490000.0,1.69,1.68,3290000.0,N/A
183,N/A,N/A,emr,N/A,N/A,N/A,N/A,N/A,99.40,13.53,1.52,4.36,11.83,15.49,9.16,29.98,32.33,37310000000.0,37310000000.0,15.63,3.02,1.74,9.25,1.74,9050000000.0,9.25,2530000000.0,3.79,33.50,15.60,3110000000.0,4.83,7450000000.0,1.18,11.59,2440000000.0,1.05,0.62,72.90,22570000.0,4.50,3.49,21790000.0,N/A
184,N/A,N/A,eog,N/A,N/A,N/A,N/A,N/A,51.46,N/A,4.57,3.07,51.98,76.71,13.52,29.52,15.95,47290000000.0,47290000000.0,N/A,0.99,5.43,14.55,5.43,6580000000.0,14.55,4520000000.0,8.29,N/A,48.20,718510000.0,1.31,6660000000.0,1.43,23.54,3600000000.0,0.95,0.61,89.50,13660000.0,2.29,2.50,11600000.0,N/A
185,N/A,N/A,eqr,N/A,N/A,N/A,N/A,N/A,97.39,30.92,9.45,2.48,31.70,36.75,2.74,8.08,7.55,37650000000.0,37650000000.0,21.96,5.70,13.71,21.17,13.71,1840000000.0,21.17,862880000.0,2.36,6.10,5.80,151870000.0,0.42,10970000000.0,1.30,28.60,1360000000.0,0.27,1.74,98.10,4840000.0,2.69,1.49,3520000.0,N/A
186,N/A,N/A,eqt,N/A,N/A,N/A,N/A,N/A,38.52,109.50,4.68,1.80,4.36,37.00,3.47,4.47,12.82,10830000000.0,10830000000.0,211.07,2.25,5.54,7.02,5.54,1430000000.0,7.02,85170000.0,0.56,N/A,26.70,1600000000.0,10.50,3090000000.0,2.83,33.28,1220000000.0,0.63,9.52,70.80,6000000.0,2.39,4.73,6060000.0,N/A
187,N/A,N/A,esrx,N/A,N/A,N/A,N/A,N/A,89.71,19.74,0.45,2.66,2.43,4.83,5.74,13.35,147.68,59360000000.0,59360000000.0,10.49,0.84,0.58,8.64,0.58,8400000000.0,8.64,2480000000.0,3.56,32.90,0.50,3190000000.0,4.77,15590000000.0,0.70,25.67,4850000000.0,1.01,0.25,98.10,23260000.0,3.36,3.21,25520000.0,N/A
188,N/A,N/A,etfc,N/A,N/A,N/A,N/A,N/A,53.08,27.92,3.89,1.23,14.60,36.00,0.59,4.80,6.31,7220000000.0,7220000000.0,13.89,0.86,3.93,N/A,3.93,1400000000.0,N/A,268000000.0,0.91,117.10,5.80,3300000000.0,11.27,3080000000.0,1.54,19.81,832000000.0,1.41,0.19,95.20,7130000.0,1.37,2.46,7510000.0,N/A
189,N/A,N/A,etn,N/A,N/A,N/A,N/A,N/A,55.49,14.22,1.31,1.79,9.49,11.46,4.63,12.75,44.80,35600000000.0,35600000000.0,13.27,1.81,1.71,10.74,1.71,6560000000.0,10.74,1980000000.0,4.23,8.40,9.10,445000000.0,0.97,8449999999.999999,1.43,33.10,2370000000.0,1.37,0.30,76.50,6160000.0,1.69,1.32,7280000.0,N/A
190,N/A,N/A,etr,N/A,N/A,N/A,N/A,N/A,144.65,N/A,1.18,1.46,1.53,14.35,2.27,1.78,64.26,26350000000.0,26350000000.0,14.66,6.39,2.29,7.55,2.29,4059999999.9999995,7.55,176560000.0,0.99,17.10,11.40,1350000000.0,7.57,13850000000.0,1.32,51.89,3290000000.0,0.45,0.17,87.20,3660000.0,2.89,2.03,3310000.0,N/A
191,N/A,N/A,ew,N/A,N/A,N/A,N/A,N/A,23.97,38.95,7.44,7.44,19.85,25.82,10.62,21.08,11.57,18180000000.0,18180000000.0,28.73,2.16,7.29,25.62,7.29,1880000000.0,25.62,494900000.0,2.25,28.80,8.60,1220000000.0,5.71,599900000.0,4.30,11.62,549700000.0,0.55,0.78,86.90,3200000.0,1.62,1.49,3250000.0,N/A
192,N/A,N/A,exc,N/A,N/A,N/A,N/A,N/A,96.33,13.67,1.08,1.24,7.71,14.97,3.03,8.74,33.09,51770000000.0,51770000000.0,13.01,3.99,1.76,6.30,1.76,8039999999.999999,6.30,2270000000.0,2.54,531.60,7.60,6500000000.0,7.07,26320000000.0,1.68,28.04,7620000000.0,0.02,0.22,84.80,23510000.0,3.10,2.74,24080000.0,N/A
193,N/A,N/A,expd,N/A,N/A,N/A,N/A,N/A,N/A,20.03,1.32,5.14,6.91,10.90,16.48,25.77,35.02,7940000000.0,7940000000.0,18.27,2.47,1.20,10.35,1.20,2190000000.0,10.35,457220000.0,2.40,15.20,9.80,807840000.0,4.44,0.00,2.31,9.29,564710000.0,0.59,0.89,93.50,14190000.0,6.82,7.48,12470000.0,N/A
194,N/A,N/A,expe,N/A,N/A,N/A,N/A,N/A,64.94,20.16,2.47,3.38,11.46,6.91,2.35,17.97,51.26,19230000000.0,19230000000.0,16.93,0.81,2.88,26.29,2.88,5360000000.0,26.29,764470000.0,5.70,N/A,25.30,1710000000.0,11.36,3630000000.0,0.50,32.37,1370000000.0,1.21,14.45,90.50,10800000.0,4.35,10.95,10960000.0,N/A
195,N/A,N/A,expr,N/A,N/A,N/A,N/A,N/A,11.53,17.26,0.75,2.84,4.42,8.51,9.93,18.28,27.38,1740000000.0,1740000000.0,11.46,1.03,0.75,6.44,0.75,660950000.0,6.44,102190000.0,1.21,80.40,9.80,91210000.0,1.08,69900000.0,1.60,7.20,214200000.0,0.90,12.83,90.70,9300000.0,4.30,11.42,9300000.0,N/A
196,N/A,N/A,f,N/A,N/A,N/A,N/A,N/A,462.09,7.22,0.35,1.82,4.93,5.38,2.32,27.53,37.68,162040000000.0,162040000000.0,6.45,0.60,1.08,10.12,1.08,23060000000.0,10.12,7370000000.0,1.84,N/A,12.20,23570000000.0,5.94,132850000000.0,1.83,7.22,16170000000.000002,1.32,0.31,60.00,112740000.0,2.18,3.21,96230000.0,N/A
197,N/A,N/A,fast,N/A,N/A,N/A,N/A,N/A,20.26,26.47,3.50,7.55,13.35,21.38,21.14,27.79,13.28,13750000000.0,13750000000.0,23.55,2.38,3.55,15.04,3.55,1950000000.0,15.04,516360000.0,1.77,5.50,0.40,129020000.00000001,0.45,365000000.0,4.46,6.22,546940000.0,0.88,4.71,87.80,47560000.0,11.39,16.20,42380000.0,N/A
198,N/A,N/A,fb,N/A,N/A,N/A,N/A,N/A,0.71,84.62,17.04,6.88,20.57,35.11,8.80,9.18,6.40,293290000000.0,293290000000.0,26.49,1.08,16.36,35.60,16.36,15060000000.0,35.60,3670000000.0,1.29,122.70,51.70,18430000000.0,6.48,315000000.0,11.25,15.60,8600000000.0,0.73,4.04,68.60,24470000.0,0.64,1.13,24680000.0,N/A
199,N/A,N/A,fcx,N/A,N/A,N/A,N/A,N/A,159.49,N/A,0.76,1.53,77.07,0.76,0.14,67.10,14.67,36120000000.0,36120000000.0,12.40,2.78,2.28,10.70,2.28,12650000000.0,10.70,12240000000.0,11.31,N/A,27.50,224000000.0,0.18,20430000000.0,1.73,6.26,3220000000.0,2.35,10.24,68.40,222710000.0,3.34,21.75,177950000.0,N/A
200,N/A,N/A,fdx,N/A,N/A,N/A,N/A,N/A,56.67,37.03,0.80,2.60,2.30,9.60,8.16,7.31,172.51,44650000000.0,44650000000.0,12.08,1.05,0.92,6.14,0.92,30470000000.0,6.14,1120000000.0,3.90,4.20,4.30,3650000000.0,13.23,8500000000.0,1.87,54.39,5670000000.0,1.24,7.19,76.90,1.74,1.74,1.58,4130000.0,N/A
201,N/A,N/A,fe,N/A,N/A,N/A,N/A,N/A,177.64,26.06,1.04,1.23,3.96,15.98,2.81,4.65,34.62,37060000000.0,37060000000.0,13.17,4.93,2.54,9.50,2.54,8850000000.0,9.50,578000000.0,1.37,N/A,1.80,131000000.0,0.31,22070000000.0,0.54,29.33,3450000000.0,0.20,16.18,61.30,5480000.0,1.31,1.45,5890000.0,N/A
